Position	Number_Covered_Samples	Avg_Depth	Upper_SE	Lower_SE
90	0	0.04494382	0.105155435	-0.015267795
91	0	0.04494382	0.105155435	-0.015267795
92	0	0.04494382	0.105155435	-0.015267795
93	0	0.056179775	0.123101244	-0.010741693
94	0	0.078651685	0.168198416	-0.010895046
95	0	0.134831461	0.259518002	0.010144919
96	1	0.146067416	0.287577898	0.004556934
97	1	0.168539326	0.354583071	-0.017504419
98	1	0.168539326	0.354583071	-0.017504419
99	1	0.168539326	0.354583071	-0.017504419
100	2	0.179775281	0.377327248	-0.017776686
101	2	0.179775281	0.377327248	-0.017776686
102	2	0.224719101	0.437047608	0.012390594
103	2	0.258426966	0.499140569	0.017713363
104	2	0.292134831	0.55786166	0.026408003
105	2	0.303370787	0.569818938	0.036922635
106	2	0.303370787	0.569818938	0.036922635
107	2	0.303370787	0.569818938	0.036922635
108	2	0.303370787	0.569818938	0.036922635
109	3	0.348314607	0.647311345	0.049317868
110	4	0.370786517	0.676937215	0.064635819
111	4	0.370786517	0.676937215	0.064635819
112	4	0.370786517	0.676937215	0.064635819
113	4	0.370786517	0.676937215	0.064635819
114	5	0.460674157	0.845579964	0.07576835
115	5	0.494382022	0.903357173	0.085406871
116	6	0.528089888	0.974702806	0.081476969
117	6	0.539325843	1.010680704	0.067970981
118	6	0.550561798	1.027829199	0.073294397
119	6	0.561797753	1.064144097	0.059451408
120	6	0.584269663	1.112139857	0.056399468
121	6	0.595505618	1.130359269	0.060651967
122	6	0.606741573	1.167408006	0.04607514
123	6	0.617977528	1.204920428	0.031034628
124	7	0.651685393	1.249197229	0.054173558
125	7	0.651685393	1.249197229	0.054173558
126	8	0.674157303	1.300627085	0.047687522
127	8	0.674157303	1.300627085	0.047687522
128	8	0.696629213	1.327069295	0.066189132
129	8	0.707865169	1.364550217	0.05118012
130	8	0.741573034	1.410181963	0.072964104
131	8	0.764044944	1.437595477	0.090494411
132	8	0.764044944	1.437595477	0.090494411
133	9	0.95505618	1.636851751	0.273260608
134	9	0.95505618	1.636851751	0.273260608
135	10	1.033707865	1.747516943	0.319898787
136	10	1.056179775	1.779117502	0.333242048
137	10	1.056179775	1.779117502	0.333242048
138	10	1.056179775	1.779117502	0.333242048
139	10	1.078651685	1.831006382	0.326296989
140	10	1.08988764	1.847791823	0.331983458
141	10	1.101123596	1.858281747	0.343965444
142	11	1.157303371	1.924242362	0.390364379
143	11	1.157303371	1.924242362	0.390364379
144	11	1.157303371	1.924242362	0.390364379
145	11	1.157303371	1.924242362	0.390364379
146	11	1.179775281	1.97664806	0.382902502
147	11	1.179775281	1.97664806	0.382902502
148	11	1.202247191	2.015176137	0.389318245
149	11	1.213483146	2.031407375	0.395558917
150	11	1.224719101	2.066973039	0.382465164
151	11	1.235955056	2.102938357	0.368971756
152	11	1.314606742	2.21548765	0.413725834
153	11	1.314606742	2.21548765	0.413725834
154	11	1.314606742	2.21548765	0.413725834
155	12	1.359550562	2.272623169	0.446477955
156	12	1.393258427	2.320123927	0.466392927
157	12	1.426966292	2.384323171	0.469609413
158	12	1.426966292	2.384323171	0.469609413
159	13	1.460674157	2.41918869	0.502159625
160	13	1.460674157	2.41918869	0.502159625
161	13	1.483146067	2.472890225	0.493401909
162	13	1.516853933	2.557999841	0.475708024
163	13	1.550561798	2.606100166	0.495023429
164	13	1.561797753	2.626238852	0.497356654
165	13	1.584269663	2.662752854	0.505786472
166	15	1.617977528	2.704959785	0.530995272
167	15	1.696629213	2.814514424	0.578744003
168	15	1.696629213	2.814514424	0.578744003
169	15	1.696629213	2.814514424	0.578744003
170	15	1.696629213	2.814514424	0.578744003
171	15	1.696629213	2.814514424	0.578744003
172	16	1.719101124	2.861825495	0.576376752
173	16	1.730337079	2.897527371	0.563146786
174	16	1.730337079	2.897527371	0.563146786
175	16	1.764044944	2.94759222	0.580497668
176	16	1.786516854	2.983181209	0.589852499
177	16	1.808988764	3.017807888	0.60016964
178	16	1.831460674	3.066960134	0.595961214
179	16	1.842696629	3.077937145	0.607456113
180	16	1.853932584	3.088136781	0.619728388
181	16	1.898876404	3.191295135	0.606457674
182	17	1.921348315	3.238625885	0.604070744
183	17	1.943820225	3.286878289	0.60076216
184	17	1.95505618	3.32300383	0.587108529
185	17	1.966292135	3.359358279	0.573225991
186	17	1.95505618	3.33886806	0.5712443
187	17	1.966292135	3.359358279	0.573225991
188	17	2.02247191	3.456179353	0.588764467
189	17	2.033707865	3.477620288	0.589795443
190	17	2.056179775	3.507899018	0.604460533
191	17	2.08988764	3.554804835	0.624970446
192	17	2.123595506	3.623201082	0.623989929
193	17	2.146067416	3.653078147	0.639056685
194	17	2.157303371	3.674574221	0.640032521
195	18	2.224719101	3.792956826	0.656481377
196	18	2.235955056	3.828375332	0.64353478
197	18	2.235955056	3.828375332	0.64353478
198	18	2.280898876	3.898135827	0.663661926
199	18	2.292134831	3.933956243	0.65031342
200	18	2.303370787	3.944731013	0.66201056
201	18	2.314606742	3.963576191	0.665637292
202	18	2.337078652	4.035574874	0.638582429
203	18	2.337078652	4.056123821	0.618033482
204	19	2.325842697	4.015842451	0.635842942
205	19	2.337078652	4.052255065	0.621902239
206	19	2.337078652	4.052255065	0.621902239
207	19	2.348314607	4.088842626	0.607786588
208	19	2.393258427	4.146020621	0.640496233
209	19	2.382022472	4.132556662	0.631488282
210	19	2.404494382	4.182576033	0.626412731
211	18	2.404494382	4.208013025	0.600975739
212	18	2.426966292	4.281933606	0.571998978
213	19	2.449438202	4.3303788	0.568497605
214	19	2.471910112	4.356922315	0.58689791
215	19	2.483146067	4.394169586	0.572122549
216	19	2.483146067	4.394169586	0.572122549
217	20	2.494382022	4.405411121	0.583352924
218	20	2.528089888	4.477939141	0.578240634
219	20	2.528089888	4.477939141	0.578240634
220	20	2.528089888	4.477939141	0.578240634
221	20	2.528089888	4.477939141	0.578240634
222	20	2.528089888	4.477939141	0.578240634
223	20	2.528089888	4.477939141	0.578240634
224	20	2.573033708	4.540711303	0.605356113
225	20	2.606741573	4.605394828	0.608088318
226	20	2.617977528	4.662117903	0.573837153
227	20	2.617977528	4.662117903	0.573837153
228	20	2.685393258	4.797166918	0.573619598
229	20	2.730337079	4.887535795	0.573138362
230	20	2.730337079	4.887535795	0.573138362
231	20	2.741573034	4.899547663	0.583598404
232	19	2.719101124	4.874198037	0.56400421
233	19	2.719101124	4.873757635	0.564444612
234	19	2.719101124	4.873757635	0.564444612
235	19	2.707865169	4.860853274	0.554877063
236	19	2.707865169	4.860853274	0.554877063
237	20	2.719101124	4.871995126	0.566207121
238	20	2.707865169	4.834687771	0.581042566
239	20	2.719101124	4.878597116	0.559605131
240	20	2.719101124	4.898718529	0.539483718
241	20	2.730337079	4.936257512	0.524416645
242	21	2.842696629	5.088327293	0.597065966
243	21	2.865168539	5.11345671	0.616880369
244	21	2.853932584	5.101528208	0.606336961
245	21	2.91011236	5.222265116	0.597959603
246	21	2.91011236	5.222265116	0.597959603
247	21	2.898876404	5.207498482	0.590254327
248	21	2.898876404	5.234471717	0.563281092
249	21	2.91011236	5.249197637	0.571027082
250	21	2.921348315	5.264723899	0.57797273
251	21	2.93258427	5.275381895	0.589786644
252	21	2.93258427	5.275381895	0.589786644
253	21	2.943820225	5.285629984	0.602010465
254	21	2.97752809	5.318777722	0.636278458
255	21	2.97752809	5.318777722	0.636278458
256	21	3	5.368260982	0.631739018
257	21	3.011235955	5.38489826	0.63757365
258	21	3.033707865	5.426466225	0.640949505
259	21	3.033707865	5.447395464	0.620020266
260	21	3.112359551	5.567366071	0.65735303
261	21	3.123595506	5.58068163	0.666509382
262	21	3.123595506	5.58068163	0.666509382
263	22	3.146067416	5.575080114	0.717054718
264	22	3.146067416	5.575080114	0.717054718
265	22	3.146067416	5.575080114	0.717054718
266	22	3.157303371	5.596588597	0.718018145
267	22	3.157303371	5.596588597	0.718018145
268	22	3.146067416	5.585217125	0.706917707
269	21	3.101123596	5.538908975	0.663338216
270	21	3.112359551	5.582011736	0.642707365
271	21	3.112359551	5.582011736	0.642707365
272	20	3.101123596	5.599280372	0.602966819
273	20	3.101123596	5.623475831	0.57877136
274	20	3.112359551	5.645371962	0.579347139
275	20	3.134831461	5.679339554	0.590323367
276	21	3.146067416	5.690336633	0.601798199
277	21	3.168539326	5.765119401	0.571959251
278	21	3.168539326	5.767676539	0.569402113
279	21	3.157303371	5.745706697	0.568900044
280	21	3.168539326	5.783329809	0.553748843
281	21	3.191011236	5.808210694	0.573811778
282	21	3.202247191	5.84589326	0.558601122
283	20	3.191011236	5.843150241	0.538872231
284	20	3.202247191	5.86520754	0.539286842
285	20	3.213483146	5.902789014	0.524177278
286	21	3.235955056	5.936020193	0.535889919
287	20	3.213483146	5.887571969	0.539394323
288	20	3.179775281	5.880029972	0.47952059
289	20	3.202247191	5.904124395	0.500369987
290	20	3.191011236	5.866662721	0.515359751
291	20	3.202247191	5.887918678	0.516575704
292	20	3.224719101	5.913065272	0.53637293
293	19	3.224719101	5.939411885	0.510026317
294	19	3.213483146	5.927378448	0.499587844
295	19	3.224719101	5.964812648	0.484625555
296	19	3.280898876	6.060958452	0.500839301
297	19	3.280898876	6.060958452	0.500839301
298	19	3.280898876	6.064710922	0.497086831
299	19	3.280898876	6.064710922	0.497086831
300	19	3.280898876	6.064710922	0.497086831
301	20	3.337078652	6.159134796	0.515022508
302	20	3.337078652	6.183577661	0.490579642
303	20	3.370786517	6.225753929	0.515819105
304	20	3.370786517	6.227747676	0.513825358
305	20	3.404494382	6.287359744	0.52162902
306	20	3.404494382	6.287359744	0.52162902
307	20	3.426966292	6.319745803	0.534186781
308	20	3.393258427	6.282666885	0.503849969
309	20	3.393258427	6.282666885	0.503849969
310	20	3.393258427	6.288900616	0.497616238
311	20	3.382022472	6.265475879	0.498569065
312	20	3.359550562	6.19144381	0.527657313
313	20	3.292134831	6.108218451	0.476051212
314	20	3.348314607	6.184512139	0.512117075
315	20	3.348314607	6.184512139	0.512117075
316	20	3.337078652	6.1671941	0.506963204
317	20	3.348314607	6.204185724	0.492443489
318	20	3.359550562	6.241272778	0.477828346
319	20	3.370786517	6.278452714	0.463120319
320	22	3.415730337	6.321250418	0.510210256
321	22	3.404494382	6.284065958	0.524922806
322	22	3.415730337	6.301257585	0.53020309
323	22	3.404494382	6.301807921	0.507180843
324	22	3.370786517	6.242656662	0.498916372
325	22	3.359550562	6.227407939	0.491693185
326	22	3.359550562	6.227407939	0.491693185
327	22	3.337078652	6.179907938	0.494249366
328	22	3.303370787	6.144684321	0.462057252
329	22	3.303370787	6.144684321	0.462057252
330	22	3.292134831	6.083849223	0.50042044
331	22	3.325842697	6.149187005	0.502498388
332	22	3.337078652	6.16047961	0.513677693
333	22	3.292134831	6.100794731	0.483474932
334	23	3.337078652	6.165516972	0.508640332
335	23	3.337078652	6.140916664	0.533240639
336	23	3.314606742	6.068120316	0.561093167
337	24	3.314606742	6.097261772	0.531951711
338	24	3.303370787	6.03918424	0.567557333
339	24	3.314606742	6.05395302	0.575260464
340	24	3.303370787	6.029454165	0.577287408
341	23	3.269662921	5.970691487	0.568634355
342	23	3.247191011	5.953665964	0.540716058
343	18	3.078651685	5.753362493	0.403940878
344	18	3.078651685	5.779490751	0.377812619
345	18	3.056179775	5.757417565	0.354941985
346	17	3.056179775	5.756714824	0.355644726
347	17	3.033707865	5.709562588	0.357853142
348	17	3.04494382	5.746023707	0.343863934
349	16	3.033707865	5.695338484	0.372077246
350	16	3.033707865	5.695338484	0.372077246
351	16	3.033707865	5.720181243	0.347234487
352	16	3.056179775	5.744740123	0.367619427
353	16	3.06741573	5.762124409	0.372707051
354	16	3.056179775	5.725611075	0.386748476
355	16	3.02247191	5.650924625	0.394019196
356	17	3.04494382	5.622328618	0.467559023
357	17	3.06741573	5.695081312	0.439750149
358	17	3.08988764	5.746947253	0.432828028
359	18	3.112359551	5.783240462	0.44147864
360	19	3.191011236	5.920390011	0.461632461
361	19	3.213483146	5.942721273	0.484245019
362	19	3.235955056	5.968512091	0.503398021
363	18	3.224719101	5.960306485	0.489131717
364	18	3.224719101	5.962040502	0.4873977
365	18	3.191011236	5.896993665	0.485028807
366	19	3.224719101	5.931710123	0.51772808
367	20	3.269662921	6.002824734	0.536501108
368	20	3.303370787	6.060951383	0.54579019
369	20	3.303370787	6.056129114	0.550612459
370	20	3.314606742	6.06949859	0.559714893
371	20	3.348314607	6.133528218	0.563100996
372	20	3.359550562	6.169914569	0.549186554
373	21	3.370786517	6.155073489	0.586499545
374	21	3.370786517	6.132486062	0.609086972
375	21	3.404494382	6.192302475	0.616686289
376	21	3.415730337	6.209689714	0.621770961
377	21	3.438202247	6.234587843	0.641816651
378	21	3.460674157	6.268946788	0.652401527
379	22	3.460674157	6.267932802	0.653415513
380	22	3.449438202	6.25465257	0.644223834
381	23	3.449438202	6.248217436	0.650658968
382	23	3.460674157	6.284448982	0.636899333
383	23	3.426966292	6.210402935	0.643529649
384	23	3.415730337	6.174138307	0.657322367
385	23	3.415730337	6.187865882	0.643594792
386	23	3.404494382	6.200121057	0.608867707
387	23	3.370786517	6.174772843	0.566800191
388	24	3.404494382	6.232857302	0.576131462
389	24	3.426966292	6.257733479	0.596199105
390	24	3.438202247	6.274685497	0.601718998
391	24	3.449438202	6.311254698	0.587621706
392	24	3.438202247	6.274685497	0.601718998
393	24	3.426966292	6.238221793	0.615710791
394	24	3.415730337	6.222905416	0.608555258
395	24	3.393258427	6.171484005	0.615032849
396	24	3.404494382	6.196044529	0.612944235
397	24	3.393258427	6.178988831	0.607528023
398	24	3.337078652	6.088988533	0.585168771
399	24	3.348314607	6.10647903	0.590150183
400	24	3.348314607	6.10647903	0.590150183
401	24	3.348314607	6.10647903	0.590150183
402	24	3.325842697	6.052751275	0.598934118
403	24	3.292134831	6.037573966	0.546695696
404	24	3.280898876	6.001261562	0.560536191
405	25	3.348314607	6.082981931	0.613647283
406	25	3.348314607	6.076380391	0.620248823
407	25	3.325842697	6.05309927	0.598586123
408	24	3.337078652	6.10377759	0.570379714
409	24	3.359550562	6.155695919	0.563405205
410	24	3.370786517	6.145855399	0.595717635
411	24	3.370786517	6.145855399	0.595717635
412	23	3.370786517	6.145171359	0.596401674
413	23	3.393258427	6.175580056	0.610936798
414	23	3.426966292	6.216533279	0.637399306
415	23	3.449438202	6.267815497	0.631060908
416	23	3.460674157	6.278056242	0.643292073
417	23	3.449438202	6.25228345	0.646592954
418	22	3.438202247	6.241367044	0.635037451
419	22	3.449438202	6.277228017	0.621648387
420	22	3.460674157	6.294178515	0.627169799
421	22	3.471910112	6.298047831	0.645772394
422	22	3.494382022	6.370129563	0.618634482
423	26	3.685393258	6.584630968	0.786155549
424	26	3.674157303	6.572799135	0.775515472
425	26	3.662921348	6.561290948	0.764551749
426	26	3.651685393	6.547158185	0.756212602
427	26	3.617977528	6.475644006	0.76031105
428	26	3.629213483	6.522811191	0.735615775
429	26	3.629213483	6.522811191	0.735615775
430	26	3.629213483	6.542097122	0.716329844
431	26	3.617977528	6.527641675	0.708313382
432	26	3.617977528	6.505706369	0.730248688
433	26	3.550561798	6.374657578	0.726466017
434	26	3.550561798	6.374657578	0.726466017
435	25	3.528089888	6.339076073	0.717103702
436	25	3.516853933	6.302752752	0.730955113
437	26	3.528089888	6.323842428	0.732337347
438	26	3.516853933	6.287723686	0.745984179
439	26	3.528089888	6.276254179	0.779925596
440	26	3.550561798	6.305596855	0.795526741
441	26	3.528089888	6.287626399	0.768553377
442	26	3.539325843	6.305034107	0.773617578
443	26	3.516853933	6.280865278	0.752842588
444	26	3.528089888	6.317045211	0.739134564
445	26	3.539325843	6.353337494	0.725314192
446	26	3.539325843	6.334727472	0.743924214
447	26	3.539325843	6.334727472	0.743924214
448	26	3.539325843	6.334727472	0.743924214
449	26	3.561797753	6.388561722	0.735033784
450	26	3.561797753	6.388561722	0.735033784
451	26	3.528089888	6.328929516	0.727250259
452	25	3.483146067	6.227862699	0.738429436
453	24	3.438202247	6.159250797	0.717153698
454	24	3.426966292	6.145897904	0.70803468
455	24	3.460674157	6.247916109	0.673432206
456	24	3.449438202	6.212041085	0.68683532
457	24	3.449438202	6.212041085	0.68683532
458	24	3.483146067	6.295152479	0.671139656
459	24	3.483146067	6.270747609	0.695544526
460	24	3.483146067	6.270747609	0.695544526
461	24	3.460674157	6.2455317	0.675816615
462	24	3.449438202	6.228822639	0.670053765
463	24	3.449438202	6.228822639	0.670053765
464	24	3.449438202	6.204128773	0.694747632
465	24	3.438202247	6.189426206	0.686978288
466	24	3.415730337	6.142302608	0.689158066
467	24	3.415730337	6.142302608	0.689158066
468	24	3.415730337	6.142302608	0.689158066
469	24	3.359550562	6.017898069	0.701203055
470	24	3.359550562	6.017898069	0.701203055
471	24	3.370786517	6.018809306	0.722763728
472	24	3.382022472	6.020755248	0.743289696
473	24	3.393258427	6.035984706	0.750532148
474	24	3.393258427	6.035984706	0.750532148
475	24	3.382022472	6.014273645	0.749771299
476	24	3.404494382	6.047975074	0.76101369
477	24	3.460674157	6.125371767	0.795976548
478	24	3.471910112	6.160375272	0.783444952
479	23	3.460674157	6.149480391	0.771867924
480	23	3.449438202	6.124428059	0.774448346
481	23	3.438202247	6.089295703	0.787108791
482	23	3.471910112	6.111931645	0.83188858
483	23	3.483146067	6.146795051	0.819497084
484	22	3.483146067	6.183594248	0.782697887
485	22	3.483146067	6.207038129	0.759254006
486	22	3.449438202	6.111625626	0.787250778
487	22	3.438202247	6.086430395	0.789974099
488	22	3.426966292	6.074094981	0.779837603
489	22	3.404494382	6.064437851	0.744550913
490	22	3.393258427	6.039573303	0.746943551
491	22	3.393258427	6.063847882	0.722668972
492	22	3.382022472	6.055058375	0.708986569
493	23	3.359550562	5.994591344	0.724509779
494	22	3.393258427	6.030232793	0.756284061
495	22	3.382022472	6.011387803	0.75265714
496	20	3.325842697	5.943368072	0.708317321
497	20	3.314606742	5.893348171	0.735865312
498	20	3.213483146	5.770002528	0.656963764
499	20	3.269662921	5.870088012	0.669237831
500	20	3.258426966	5.858765944	0.658087988
501	20	3.224719101	5.779486093	0.669952109
502	20	3.191011236	5.714428557	0.667593915
503	20	3.202247191	5.714471319	0.690023063
504	20	3.224719101	5.786163774	0.663274429
505	20	3.191011236	5.749165098	0.632857374
506	20	3.168539326	5.723857198	0.613221453
507	20	3.179775281	5.759975947	0.599574615
508	20	3.168539326	5.744939291	0.592139361
509	20	3.146067416	5.724056168	0.568078663
510	20	3.123595506	5.699473937	0.547717075
511	20	3.146067416	5.71002941	0.582105422
512	20	3.157303371	5.735052213	0.579554529
513	20	3.146067416	5.723319821	0.568815011
514	20	3.134831461	5.708635127	0.561027795
515	20	3.157303371	5.732473836	0.582132905
516	20	3.157303371	5.732473836	0.582132905
517	20	3.134831461	5.70900382	0.560659102
518	20	3.101123596	5.672660087	0.529587104
519	20	3.056179775	5.601123655	0.511235895
520	20	3.06741573	5.626653111	0.508178349
521	20	3.056179775	5.591035336	0.521324215
522	20	3.056179775	5.590660923	0.521698627
523	20	3.033707865	5.519833015	0.547582715
524	20	3.04494382	5.514777339	0.575110301
525	20	3.011235955	5.418642184	0.603829726
526	19	2.966292135	5.352696164	0.579888106
527	19	2.966292135	5.347122212	0.585462057
528	20	2.95505618	5.334873853	0.575238507
529	20	2.93258427	5.337349204	0.527819335
530	20	2.93258427	5.337349204	0.527819335
531	20	2.943820225	5.355899229	0.53174122
532	20	2.943820225	5.355899229	0.53174122
533	20	2.93258427	5.320716886	0.544451653
534	21	2.943820225	5.331778699	0.55586175
535	21	2.95505618	5.360260054	0.549852306
536	21	2.93258427	5.289919538	0.575249001
537	21	2.921348315	5.27684186	0.565854769
538	20	2.898876404	5.247842187	0.549910622
539	20	2.898876404	5.247842187	0.549910622
540	20	2.898876404	5.247842187	0.549910622
541	20	2.887640449	5.212807811	0.562473088
542	20	2.887640449	5.212807811	0.562473088
543	20	2.865168539	5.179188298	0.55114878
544	20	2.842696629	5.131441595	0.553951663
545	21	2.887640449	5.214439829	0.560841069
546	21	2.876404494	5.188220569	0.564588419
547	20	2.887640449	5.214439829	0.560841069
548	20	2.898876404	5.249457682	0.548295127
549	20	2.898876404	5.249457682	0.548295127
550	19	2.865168539	5.214597301	0.515739777
551	19	2.887640449	5.269661567	0.505619332
552	19	2.887640449	5.258880202	0.516400697
553	19	2.91011236	5.30532493	0.514899789
554	19	2.91011236	5.30532493	0.514899789
555	19	2.921348315	5.316792368	0.525904261
556	20	2.943820225	5.363755265	0.523885185
557	20	2.95505618	5.372460658	0.537651702
558	20	2.95505618	5.379516705	0.530595655
559	21	2.93258427	5.341292352	0.523876187
560	21	2.95505618	5.381081928	0.529030431
561	21	2.95505618	5.363414514	0.546697846
562	21	2.95505618	5.327685045	0.582427315
563	22	2.966292135	5.313804838	0.618779432
564	22	2.966292135	5.313804838	0.618779432
565	22	2.966292135	5.313804838	0.618779432
566	22	2.97752809	5.324041279	0.631014901
567	22	2.95505618	5.272239488	0.637872872
568	22	2.91011236	5.187943434	0.632281285
569	22	2.91011236	5.206615238	0.613609481
570	22	2.966292135	5.297171136	0.635413134
571	22	2.97752809	5.333324917	0.621731263
572	22	3	5.39099298	0.60900702
573	22	2.97752809	5.360560676	0.594495504
574	22	2.97752809	5.386307002	0.568749178
575	22	2.966292135	5.369340446	0.563243823
576	22	2.966292135	5.381551939	0.551032331
577	22	2.966292135	5.381551939	0.551032331
578	22	2.97752809	5.418399613	0.536656567
579	22	2.93258427	5.351122097	0.514046443
580	22	2.921348315	5.314017545	0.528679084
581	22	2.988764045	5.410711945	0.566816145
582	22	3	5.397335148	0.602664852
583	22	3	5.397335148	0.602664852
584	22	3	5.397335148	0.602664852
585	22	2.988764045	5.360826574	0.616701516
586	22	3.011235955	5.386896464	0.635575446
587	22	3.011235955	5.386896464	0.635575446
588	22	3.033707865	5.438335338	0.629080393
589	22	3.056179775	5.45998231	0.652377241
590	22	3.06741573	5.496915655	0.637915805
591	22	3.06741573	5.51093752	0.62389394
592	22	3.078651685	5.52583197	0.631471401
593	22	3.08988764	5.56307344	0.616701841
594	22	3.101123596	5.579830531	0.62241666
595	22	3.146067416	5.633757568	0.658377264
596	22	3.146067416	5.633757568	0.658377264
597	22	3.134831461	5.622002913	0.647660009
598	22	3.112359551	5.563497404	0.661221697
599	22	3.112359551	5.538591868	0.686127233
600	22	3.157303371	5.600864435	0.713742307
601	22	3.213483146	5.693884436	0.733081856
602	22	3.213483146	5.693884436	0.733081856
603	22	3.224719101	5.717059858	0.732378345
604	22	3.179775281	5.673565969	0.685984593
605	22	3.179775281	5.654848782	0.70470178
606	21	3.146067416	5.571169981	0.720964851
607	21	3.168539326	5.60133315	0.735745501
608	20	3.146067416	5.578983963	0.713150869
609	21	3.168539326	5.60873363	0.728345021
610	21	3.157303371	5.572739763	0.741866978
611	20	3.101123596	5.498476535	0.703770656
612	20	3.101123596	5.498476535	0.703770656
613	20	3.112359551	5.510263959	0.714455142
614	20	3.134831461	5.535802216	0.733860705
615	20	3.134831461	5.535802216	0.733860705
616	20	3.123595506	5.51253169	0.734659321
617	21	3.146067416	5.559794774	0.732340057
618	21	3.146067416	5.559794774	0.732340057
619	21	3.146067416	5.559794774	0.732340057
620	21	3.146067416	5.559794774	0.732340057
621	21	3.123595506	5.539000996	0.708190015
622	19	3.033707865	5.413740598	0.653675132
623	19	3	5.353387601	0.646612399
624	19	2.966292135	5.268082141	0.664502128
625	19	2.921348315	5.192747659	0.64994897
626	19	2.943820225	5.240620247	0.647020203
627	19	2.95505618	5.255799002	0.654313358
628	19	2.93258427	5.200460016	0.664708524
629	19	2.887640449	5.102865725	0.672415174
630	19	2.887640449	5.102865725	0.672415174
631	19	2.898876404	5.139068362	0.658684447
632	19	2.898876404	5.139068362	0.658684447
633	19	2.898876404	5.139068362	0.658684447
634	19	2.93258427	5.202551344	0.662617196
635	19	2.921348315	5.191075806	0.651620823
636	19	2.95505618	5.234665428	0.675446932
637	19	2.966292135	5.258993754	0.673590516
638	19	2.95505618	5.234665428	0.675446932
639	19	2.93258427	5.177326815	0.687841724
640	18	2.91011236	5.168276943	0.651947776
641	18	2.921348315	5.191911886	0.650784743
642	19	2.97752809	5.276648225	0.678407955
643	19	2.988764045	5.288097513	0.689430577
644	19	2.966292135	5.239873367	0.692710902
645	19	2.966292135	5.239873367	0.692710902
646	19	2.966292135	5.243210186	0.689374084
647	19	2.943820225	5.190912906	0.696727543
648	21	2.966292135	5.213000417	0.719583853
649	21	2.966292135	5.213000417	0.719583853
650	21	2.966292135	5.237367536	0.695216733
651	22	2.95505618	5.231332555	0.678779805
652	22	2.966292135	5.24237644	0.69020783
653	22	2.943820225	5.219032986	0.668607464
654	22	2.988764045	5.296748641	0.680779449
655	22	2.988764045	5.304138166	0.673389924
656	22	2.943820225	5.288869721	0.598770729
657	22	2.91011236	5.223906314	0.596318405
658	22	2.898876404	5.213656362	0.584096447
659	22	2.91011236	5.237402038	0.582822681
660	22	2.887640449	5.209540333	0.565740566
661	22	2.887640449	5.209540333	0.565740566
662	22	2.887640449	5.209540333	0.565740566
663	22	2.876404494	5.173394854	0.579414135
664	22	2.876404494	5.173394854	0.579414135
665	22	2.876404494	5.225279485	0.527529503
666	22	2.887640449	5.238380493	0.536900406
667	22	2.876404494	5.216373982	0.536435007
668	22	2.91011236	5.276224683	0.544000037
669	22	2.921348315	5.300094879	0.54260175
670	22	2.921348315	5.300094879	0.54260175
671	22	2.943820225	5.342089245	0.545551205
672	22	2.943820225	5.342089245	0.545551205
673	22	2.921348315	5.293302955	0.549393675
674	22	2.91011236	5.29460321	0.525621509
675	22	2.898876404	5.258725316	0.539027493
